date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,103,27,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,4,UCiLmCoftZHWXSFuQlnEJSsQ,6,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,30,0.033333333333333333
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,105,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,3,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,101,9,5,unknown,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,5,unknown,4,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,105,5,7,D88Zd_OvaSs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,7,PiikNxCE5_Q,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,102,29,7,QmBIT0k0mF4,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,102,4,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,7,a9U4uap71ME,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,103,27,7,bSgGw84YC5g,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,101,2,7,g1GPX8SlOmU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,101,2,7,hNwKY3UQdOQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,7,hSqB1UO0Xrs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,7,i22cAFtICr4,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,102,29,7,iKb_5hvRTFY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,7,iKb_5hvRTFY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,102,4,7,nned6iDgigo,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,7,pE6Pi35mojw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,14,PLHaTA-9PhMOs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,4,18,unknown,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,B75t0LqJUSg,104,5,18,unknown,4,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,3,what-to-watch,20,0.05
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,9,3,what-to-watch,6,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,30,3,what-to-watch,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,1,3,what-to-watch,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,3,what-to-watch,3,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,12,3,what-to-watch,2,0.5
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,19,3,what-to-watch,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,29,3,what-to-watch,7,0.2857142857142857
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,31,3,what-to-watch,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,103,10,3,what-to-watch,4,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,103,27,3,what-to-watch,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,3,what-to-watch,21,0.047619047619047616
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,3,what-to-watch,59,0.15254237288135594
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,3,what-to-watch,24,0.083333333333333329
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,29,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,23,0.043478260869565216
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,4,UCiLmCoftZHWXSFuQlnEJSsQ,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,5,unknown,11,0.27272727272727271
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,9,5,unknown,3,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,1,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,5,unknown,4,0.25
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,29,5,unknown,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,31,5,unknown,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,103,10,5,unknown,3,0.33333333333333331
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,103,27,5,unknown,4,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,5,unknown,30,0.033333333333333333
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,5,unknown,136,0.080882352941176475
